ENSECAG00000000001      MTPAP
ENSECAG00000000002	RPE
ENSECAG00000011807	RAF1
ENSECAG00000011808	SLC25A22
ENSECAG00000011811	ENST00000417143
ENSECAG00000011813	CNBD2
ENSECAG00000011814	LY6G5C
ENSECAG00000011816	TMEM45A
ENSECAG00000011817	AP002962.1
ENSECAG00000011818	BCKDK
ENSECAG00000011820	AKAP17A
ENSECAG00000011821	ZNF217
ENSECAG00000011822	SPTLC3
ENSECAG00000011823	ARHGAP19
ENSECAG00000011824	MOXD1
ENSECAG00000011825	STOML3
ENSECAG00000011826	ATPIF1
ENSECAG00000011827	SBNO2
ENSECAG00000011828	MORC4
ENSECAG00000011829	PID1
ENSECAG00000011830	UTP4
ENSECAG00000011831	INTU
ENSECAG00000011833	FOLR1
ENSECAG00000011834	TIMP2
ENSECAG00000011835	PSMA5
ENSECAG00000011836	TTC27
ENSECAG00000011837	SH3BGRL3
ENSECAG00000011841	FAM174A
ENSECAG00000011842	PTPN5
ENSECAG00000011843	PFDN1
ENSECAG00000011844	DIAPH3
ENSECAG00000011845	CXCL13
ENSECAG00000011846	RTN4
ENSECAG00000011847	SERPINA1
ENSECAG00000011848	PLEKHA7
ENSECAG00000011851	MID2
ENSECAG00000011852	ALDH4A1
ENSECAG00000011853	ACADL
ENSECAG00000011854	CFB
ENSECAG00000011855	DPH7
ENSECAG00000011856	SPIRE2
ENSECAG00000011857	AP002962.1
ENSECAG00000011859	SERPINA7
ENSECAG00000011860	TCAP
ENSECAG00000011861	C3orf67
ENSECAG00000011862	C11orf1
ENSECAG00000011864	ARHGAP9
ENSECAG00000011865	CTDSPL2
ENSECAG00000011866	KRT72
ENSECAG00000011869	FSD1
ENSECAG00000011870	PYM1
ENSECAG00000011871	DNER
ENSECAG00000011873	TOM1
ENSECAG00000011874	FBLIM1
ENSECAG00000011876	ZNF565
ENSECAG00000011877	CLPSL2
ENSECAG00000011878	DTL
ENSECAG00000011879	AP002962.1
ENSECAG00000011880	TRIML1
ENSECAG00000011881	TRAPPC6B
ENSECAG00000011883	CLPSL1
ENSECAG00000011884	PGLYRP3
ENSECAG00000011885	TJP3
ENSECAG00000011887	ADAMTSL2
ENSECAG00000011889	USPL1
ENSECAG00000011890	ARHGAP30
ENSECAG00000011891	NTN4
ENSECAG00000011892	ZNF582
ENSECAG00000011894	TERF1
ENSECAG00000011895	LILRA5
ENSECAG00000011896	FBXL17
ENSECAG00000011897	CHRDL2
ENSECAG00000011899	PNN
ENSECAG00000011901	UNC5D
ENSECAG00000011902	RAB8B
ENSECAG00000011903	ELSPBP1
ENSECAG00000011904	PSMG2
ENSECAG00000011905	SHANK3
ENSECAG00000011907	C19orf54
ENSECAG00000011908	ACCSL
ENSECAG00000011911	DUSP3
ENSECAG00000011912	RAB36
ENSECAG00000011913	DEFB128
ENSECAG00000011914	ARHGEF6
ENSECAG00000011916	ANKEF1
ENSECAG00000011917	DOCK8
ENSECAG00000011918	ST3GAL1
ENSECAG00000011919	DLK2
ENSECAG00000011920	ALG2
ENSECAG00000011921	CASKIN2
ENSECAG00000011922	TMBIM1
ENSECAG00000011923	ATMIN
ENSECAG00000011924	CCDC25
ENSECAG00000011925	CASR
ENSECAG00000011927	DEFB126
ENSECAG00000011928	LRRC8C
ENSECAG00000011929	NR4A3
ENSECAG00000011930	RNASE1
ENSECAG00000011931	IDH1
ENSECAG00000011933	DHX9
ENSECAG00000011934	LGR6
ENSECAG00000011935	SMURF2
ENSECAG00000011936	TRAV17
ENSECAG00000011938	MANF
ENSECAG00000011940	IL1RL2
ENSECAG00000011941	C2orf73
ENSECAG00000011942	GLB1
ENSECAG00000011944	SNRPB
ENSECAG00000011946	CHEK1
ENSECAG00000011947	PRKAB1
ENSECAG00000011948	VEGFD
ENSECAG00000011949	LGR5
ENSECAG00000011951	POMP
ENSECAG00000011952	C8orf33
ENSECAG00000011953	TMEM248
ENSECAG00000011954	ATG3
ENSECAG00000011955	PLK5
ENSECAG00000011957	TRAV17
ENSECAG00000011958	TRMT44
ENSECAG00000011959	VWA5B2
ENSECAG00000011960	DESI1
ENSECAG00000011961	SLC36A2
ENSECAG00000011962	CDS1
ENSECAG00000011963	NXPE1
ENSECAG00000011965	OLR1
ENSECAG00000011967	CNOT11
ENSECAG00000011968	DGKA
ENSECAG00000011969	AFF4
ENSECAG00000011971	MGAT4C
ENSECAG00000011974	EML3
ENSECAG00000011975	TMEM147
ENSECAG00000011977	PDE6G
ENSECAG00000011978	LRR1
ENSECAG00000011979	FTCD
ENSECAG00000011980	FNDC9
ENSECAG00000011981	SLC25A43
ENSECAG00000011982	CISD3
ENSECAG00000011983	TRAPPC13
ENSECAG00000011986	NAPEPLD
ENSECAG00000011987	SGSM1
ENSECAG00000011988	ZNF436
ENSECAG00000011990	TSPAN10
ENSECAG00000011992	GID8
ENSECAG00000011993	THBS3
ENSECAG00000011994	CYFIP2
ENSECAG00000011995	FTSJ3
ENSECAG00000011996	ZMYND10
ENSECAG00000011997	ONECUT1
ENSECAG00000011998	SMPD3
ENSECAG00000012000	TCEAL5
ENSECAG00000012002	LRRC8B
ENSECAG00000012004	TMEM55A
ENSECAG00000012006	BCL9L
ENSECAG00000012007	ROPN1B
ENSECAG00000012008	SH3GL3
ENSECAG00000012009	AP002962.1
ENSECAG00000012010	NCR3
ENSECAG00000012012	ENPP5
ENSECAG00000012014	TMEM128
ENSECAG00000012016	FAM222B
ENSECAG00000012018	CACNB3
ENSECAG00000012019	SETX
ENSECAG00000012020	MYO1C
ENSECAG00000012021	ST3GAL3
ENSECAG00000012022	PSMB10
ENSECAG00000012023	SYF2
ENSECAG00000012024	TBC1D8
ENSECAG00000012028	ZNF354B
ENSECAG00000012029	TBC1D10C
ENSECAG00000012031	DNAAF2
ENSECAG00000012033	THAP5
ENSECAG00000012034	TCEAL7
ENSECAG00000012035	HAUS5
ENSECAG00000012036	PAIP2
ENSECAG00000012037	NCKIPSD
ENSECAG00000012040	ST6GALNAC6
ENSECAG00000012041	BEX3
ENSECAG00000012042	ZMYM6
ENSECAG00000012044	PTPDC1
ENSECAG00000012045	WLS
ENSECAG00000012046	RPL37A
ENSECAG00000012047	TCEAL4
ENSECAG00000012048	DBNL
ENSECAG00000012049	IGSF5
ENSECAG00000012050	HLCS
ENSECAG00000012053	FBXL16
ENSECAG00000012055	FLOT2
ENSECAG00000012058	IGFBP2
ENSECAG00000012059	OPLAH
ENSECAG00000012060	MYO3A
ENSECAG00000012061	CES2
ENSECAG00000012062	EFNA5
ENSECAG00000012063	GLRA4
ENSECAG00000012064	CP
ENSECAG00000012066	FBLN5
ENSECAG00000012067	DEFB125
ENSECAG00000012070	PPM1M
ENSECAG00000012071	TCP11
ENSECAG00000012072	SRC
ENSECAG00000012073	B9D2
ENSECAG00000012075	SH2D3A
ENSECAG00000012077	WDR44
ENSECAG00000012078	AP002962.1
ENSECAG00000012080	AHCYL1
ENSECAG00000012081	HMGN5
ENSECAG00000012082	MLLT6
ENSECAG00000012083	ATP2A3
ENSECAG00000012086	NECAB3
ENSECAG00000012088	TIGD1
ENSECAG00000012089	BRD2
ENSECAG00000012090	CST8
ENSECAG00000012093	NEURL4
ENSECAG00000012094	SCLY
ENSECAG00000012095	AFMID
ENSECAG00000012096	HBB
ENSECAG00000012099	CCDC13
ENSECAG00000012103	BEGAIN
ENSECAG00000012104	TNFAIP6
ENSECAG00000012105	IGSF9B
ENSECAG00000012106	SMARCA1
ENSECAG00000012107	CDIPT
ENSECAG00000012108	PPP2R1B
ENSECAG00000012109	SOSTDC1
ENSECAG00000012110	MRPL15
ENSECAG00000012111	LRP4
ENSECAG00000012112	ALOX15B
ENSECAG00000012113	ACP5
ENSECAG00000012114	HSD17B2
ENSECAG00000012116	CARNS1
ENSECAG00000012117	RS1
ENSECAG00000012118	ARNTL
ENSECAG00000012119	C4orf36
ENSECAG00000012121	DEFB119
ENSECAG00000012122	DLK1
ENSECAG00000012124	RAB2A
ENSECAG00000012126	RASAL2
ENSECAG00000012127	UVSSA
ENSECAG00000012128	CD86
ENSECAG00000012129	PMF1-BGLAP
ENSECAG00000012130	C20orf173
ENSECAG00000012131	SNAI3
ENSECAG00000012132	OASL
ENSECAG00000012133	VEGFC
ENSECAG00000012134	ASNS
ENSECAG00000012136	DDB1
ENSECAG00000012137	FECH
ENSECAG00000012138	NSUN5
ENSECAG00000012139	PEX14
ENSECAG00000012140	BMPR1B
ENSECAG00000012142	CAMKK2
ENSECAG00000012143	CYFIP1
ENSECAG00000012144	TUBA3C
ENSECAG00000012148	C15orf48
ENSECAG00000012151	MARCO
ENSECAG00000012152	CHRDL1
ENSECAG00000012153	JPH4
ENSECAG00000012154	C19orf43
ENSECAG00000012155	GAN
ENSECAG00000012156	USHBP1
ENSECAG00000012157	YAF2
ENSECAG00000012159	AMT
ENSECAG00000012160	CLPS
ENSECAG00000012161	ZNF711
ENSECAG00000012163	CEP170
ENSECAG00000012164	DZIP1L
ENSECAG00000012168	RCOR1
ENSECAG00000012169	ATP5D
ENSECAG00000012171	ERGIC3
ENSECAG00000012172	PFKFB3
ENSECAG00000012173	SPG20
ENSECAG00000012174	ZCRB1
ENSECAG00000012176	SNX6
ENSECAG00000012179	RGS2
ENSECAG00000012180	NAGPA
ENSECAG00000012181	NEUROD1
ENSECAG00000012182	GTF2A2
ENSECAG00000012183	PDZD7
ENSECAG00000012184	HDDC2
ENSECAG00000012185	GNG4
ENSECAG00000012186	PHLPP2
ENSECAG00000012188	LSMEM2
ENSECAG00000012189	PDE8B
ENSECAG00000012190	ARSH
ENSECAG00000012193	GLYCTK
ENSECAG00000012194	DDX49
ENSECAG00000012196	LRRC1
ENSECAG00000012197	SPATA2L
ENSECAG00000012198	AP002962.1
ENSECAG00000012199	CD300A
ENSECAG00000012200	GPR137C
ENSECAG00000012203	SCGB2A1
ENSECAG00000012205	LMLN
ENSECAG00000012206	ZNF572
ENSECAG00000012207	TRAV9-2
ENSECAG00000012208	ENDOV
ENSECAG00000012209	FMN1
ENSECAG00000012210	CAPNS1
ENSECAG00000012211	ZNF25
ENSECAG00000012212	ENST00000618808
ENSECAG00000012214	PCDHA3
ENSECAG00000012215	KLF7
ENSECAG00000012216	ALKBH4
ENSECAG00000012217	HLA-A
ENSECAG00000012218	ZNF707
ENSECAG00000012221	RPS6KB2
ENSECAG00000012222	CSF2RB
ENSECAG00000012223	FAM189A1
ENSECAG00000012224	PSMD12
ENSECAG00000012226	C5orf42
ENSECAG00000012227	MRM2
ENSECAG00000012228	STARD3
ENSECAG00000012229	BIRC3
ENSECAG00000012231	DEK
ENSECAG00000012233	DTYMK
ENSECAG00000012234	AP002962.1
ENSECAG00000012236	AP002962.1
ENSECAG00000012240	IL24
ENSECAG00000012241	SLC51B
ENSECAG00000012242	C18orf54
ENSECAG00000012244	CD46
ENSECAG00000012246	BCKDHA
ENSECAG00000012246	CTC-435M10.3
ENSECAG00000012249	SOX13
ENSECAG00000012252	SLC17A9
ENSECAG00000012253	CXCL11
ENSECAG00000012255	MTFMT
ENSECAG00000012256	DEFB110
ENSECAG00000012257	SRP68
ENSECAG00000012260	FAM118A
ENSECAG00000012262	AK9
ENSECAG00000012263	RNF19B
ENSECAG00000012264	TMCC2
ENSECAG00000012265	TSTD2
ENSECAG00000012266	BCCIP
ENSECAG00000012267	TM2D2
ENSECAG00000012269	HBE1
ENSECAG00000012270	RAB3GAP1
ENSECAG00000012273	UBA6
ENSECAG00000012274	NELFE
ENSECAG00000012277	ZNF10
ENSECAG00000012279	ELMO2
ENSECAG00000012282	MPP7
ENSECAG00000012283	AGR3
ENSECAG00000012285	TFAP2D
ENSECAG00000012286	DDX52
ENSECAG00000012289	ZSCAN29
ENSECAG00000012290	IGLV5-37
ENSECAG00000012291	AK9
ENSECAG00000012292	SRRT
ENSECAG00000012296	IGLV6-57
ENSECAG00000012299	A2M
ENSECAG00000012301	DNAH6
ENSECAG00000012303	FSHR
ENSECAG00000012304	ETFDH
ENSECAG00000012306	FKBP8
ENSECAG00000012307	PIH1D2
ENSECAG00000012308	TRIAP1
ENSECAG00000012309	SFXN4
ENSECAG00000012311	SEC14L5
ENSECAG00000012312	ARHGAP15
ENSECAG00000012314	DECR2
ENSECAG00000012316	DTWD1
ENSECAG00000012317	COX6B1
ENSECAG00000012319	EFNB1
ENSECAG00000012321	ANXA4
ENSECAG00000012325	VILL
ENSECAG00000012326	CD1D
ENSECAG00000012327	IL34
ENSECAG00000012328	STAT5A
ENSECAG00000012329	IGLV6-57
ENSECAG00000012330	LRRC31
ENSECAG00000012333	MRPS23
ENSECAG00000012334	TMLHE
ENSECAG00000012337	LMAN2
ENSECAG00000012338	URB2
ENSECAG00000012340	CXorf57
ENSECAG00000012341	C10orf120
ENSECAG00000012342	CRIPT
ENSECAG00000012343	PNPLA1
ENSECAG00000012344	PTPRU
ENSECAG00000012346	APOC4
ENSECAG00000012347	PROKR1
ENSECAG00000012348	EFNB2
ENSECAG00000012350	AKR1C1
ENSECAG00000012351	FUK
ENSECAG00000012352	TRMT10A
ENSECAG00000012353	ZKSCAN5
ENSECAG00000012355	SLC30A10
ENSECAG00000012356	ODF3L2
ENSECAG00000012358	CYP4F22
ENSECAG00000012359	NXPE4
ENSECAG00000012361	TIGD1
ENSECAG00000012362	C7
ENSECAG00000012363	SLC22A14
ENSECAG00000012364	COPS9
ENSECAG00000012365	VDAC1
ENSECAG00000012367	TMEM92
ENSECAG00000012368	ZNF385D
ENSECAG00000012369	SLC47A1
ENSECAG00000012370	NPTX2
ENSECAG00000012371	ALOX5AP
ENSECAG00000012372	SPNS1
ENSECAG00000012373	PLEKHG6
ENSECAG00000012376	PGLYRP1
ENSECAG00000012377	HTRA4
ENSECAG00000012378	NDUFAF1
ENSECAG00000012381	SYNGR4
ENSECAG00000012382	ZFP2
ENSECAG00000012383	ATE1
ENSECAG00000012384	TRMT2A
ENSECAG00000012385	PLA2G7
ENSECAG00000012386	VIMP
ENSECAG00000012387	AP002962.1
ENSECAG00000012388	GALNT5
ENSECAG00000012389	BSG
ENSECAG00000012390	TIRAP
ENSECAG00000012391	ROMO1
ENSECAG00000012393	B4GALT1
ENSECAG00000012394	CELA1
ENSECAG00000012395	S100B
ENSECAG00000012396	MPZL2
ENSECAG00000012397	CXCL2
ENSECAG00000012398	EOGT
ENSECAG00000012399	SUB1
ENSECAG00000012400	ENST00000613978
ENSECAG00000012403	GPN2
ENSECAG00000012404	TMEM97
ENSECAG00000012405	GAD1
ENSECAG00000012406	PRMT2
ENSECAG00000012408	SYCE2
ENSECAG00000012409	SAR1B
ENSECAG00000012411	PNPLA2
ENSECAG00000012412	ZMYND19
ENSECAG00000012413	PCBP3
ENSECAG00000012414	ASPHD1
ENSECAG00000012415	PROP1
ENSECAG00000012416	MKRN2OS
ENSECAG00000012417	BAG2
ENSECAG00000012420	APEH
ENSECAG00000012421	SYCE1
ENSECAG00000012423	HOXB2
ENSECAG00000012424	ENPP3
ENSECAG00000012425	CD46
ENSECAG00000012427	BACE1
ENSECAG00000012429	DCDC2
ENSECAG00000012431	ZNF354A
ENSECAG00000012435	FAM177A1
ENSECAG00000012436	SPATA5L1
ENSECAG00000012438	TMEM209
ENSECAG00000012439	HOXB5
ENSECAG00000012440	BSPRY
ENSECAG00000012441	PRF1
ENSECAG00000012442	GBGT1
ENSECAG00000012443	SYT9
ENSECAG00000012444	ZNF420
ENSECAG00000012448	AP002962.1
ENSECAG00000012450	TRIML2
ENSECAG00000012451	DNAJC25
ENSECAG00000012452	ATG12
ENSECAG00000012453	SLC5A3
ENSECAG00000012454	XYLT2
ENSECAG00000012455	RP11-468E2.1
ENSECAG00000012457	FGF20
ENSECAG00000012459	VAC14
ENSECAG00000012460	ENST00000309433
ENSECAG00000012463	RPS20
ENSECAG00000012464	SYNCRIP
ENSECAG00000012466	FAM186A
ENSECAG00000012467	NSMF
ENSECAG00000012468	C5orf46
ENSECAG00000012469	COX7A2
ENSECAG00000012470	PLA2G4F
ENSECAG00000012473	COMTD1
ENSECAG00000012474	TTF2
ENSECAG00000012475	SGO1
ENSECAG00000012476	PROSER2
ENSECAG00000012477	SCGB3A2
ENSECAG00000012480	SPATA16
ENSECAG00000012481	TNFRSF1B
ENSECAG00000012482	C10orf67
ENSECAG00000012483	TPRG1L
ENSECAG00000012484	NAMPT
ENSECAG00000012485	CDS2
ENSECAG00000012486	TNRC6C
ENSECAG00000012487	PIGF
ENSECAG00000012488	AP002962.1
ENSECAG00000012489	WBSCR22
ENSECAG00000012490	METTL7A
ENSECAG00000012492	UBE2J1
ENSECAG00000012493	SLC47A1
ENSECAG00000012494	LINGO4
ENSECAG00000012495	GCDH
ENSECAG00000012497	LIMK1
ENSECAG00000012498	CD5
ENSECAG00000012499	SHOC2
ENSECAG00000012500	AP5Z1
ENSECAG00000012501	SCGB1D2
ENSECAG00000012502	GLIPR2
ENSECAG00000012503	IGFL1
ENSECAG00000012504	GAST
ENSECAG00000012505	C10orf88
ENSECAG00000012506	SERPINB9
ENSECAG00000012507	CRYAB
ENSECAG00000012511	RANBP10
ENSECAG00000012512	COX6A1
ENSECAG00000012514	HFE
ENSECAG00000012515	MRPL18
ENSECAG00000012516	EIF1
ENSECAG00000012518	ATP10D
ENSECAG00000012519	SCGB2A1
ENSECAG00000012520	SRD5A1
ENSECAG00000012521	XKR5
ENSECAG00000012522	GNB3
ENSECAG00000012523	LYPLAL1
ENSECAG00000012524	FAM189A2
ENSECAG00000012525	PRR12
ENSECAG00000012526	DNAJB9
ENSECAG00000012527	TIGD1
ENSECAG00000012528	CABP5
ENSECAG00000012530	LSAMP
ENSECAG00000012531	ACYP2
ENSECAG00000012532	BHLHA15
ENSECAG00000012533	RSPH4A
ENSECAG00000012538	VPS9D1
ENSECAG00000012539	RASGRP3
ENSECAG00000012541	SLC38A4
ENSECAG00000012542	COQ2
ENSECAG00000012543	SKI
ENSECAG00000012544	TTN
ENSECAG00000012545	NUBP2
ENSECAG00000012547	ENOSF1
ENSECAG00000012548	CEP112
ENSECAG00000012550	SUSD4
ENSECAG00000012551	PCP4
ENSECAG00000012552	DRC7
ENSECAG00000012554	GTPBP8
ENSECAG00000012555	ZDHHC12
ENSECAG00000012556	ZC3H3
ENSECAG00000012559	RAB7A
ENSECAG00000012560	PF4
ENSECAG00000012563	TRAV38-2DV8
ENSECAG00000012564	BTG4
ENSECAG00000012565	FSCN2
ENSECAG00000012566	ZNF596
ENSECAG00000012567	SLC35B4
ENSECAG00000012568	CCDC33
ENSECAG00000012569	TRAPPC3
ENSECAG00000012570	DAPK3
ENSECAG00000012571	AMDHD2
ENSECAG00000012572	NEDD4
ENSECAG00000012573	ENST00000628277
ENSECAG00000012574	ANKRD40
ENSECAG00000012575	ACADS
ENSECAG00000012577	HOXA10
ENSECAG00000012578	FAM219A
ENSECAG00000012581	CNR1
ENSECAG00000012583	RP11-15K19.2
ENSECAG00000012584	GNG2
ENSECAG00000012586	FAHD2A
ENSECAG00000012588	DTNBP1
ENSECAG00000012589	AKIRIN1
ENSECAG00000012590	SPINK1
ENSECAG00000012591	TRGC1
ENSECAG00000012595	NTHL1
ENSECAG00000012596	GDF2
ENSECAG00000012597	EIF5
ENSECAG00000012598	MRTO4
ENSECAG00000012599	TRMT61A
ENSECAG00000012600	C14orf166
ENSECAG00000012601	CEP85L
ENSECAG00000012602	KANK4
ENSECAG00000012603	MRPS6
ENSECAG00000012605	RNGTT
ENSECAG00000012606	EXOSC8
ENSECAG00000012607	ABTB1
ENSECAG00000012608	TEX37
ENSECAG00000012609	NAA20
ENSECAG00000012611	TMEM71
ENSECAG00000012612	SH3BGRL
ENSECAG00000012615	TREML1
ENSECAG00000012618	CD151
ENSECAG00000012619	CASP14
ENSECAG00000012620	PSME3
ENSECAG00000012621	DAPK2
ENSECAG00000012622	NPLOC4
ENSECAG00000012623	TUBG2
ENSECAG00000012624	POLD3
ENSECAG00000012625	SERPINB4
ENSECAG00000012627	MRC2
ENSECAG00000012629	MASTL
ENSECAG00000012630	EDF1
ENSECAG00000012631	SLC6A16
ENSECAG00000012632	AP002962.1
ENSECAG00000012633	CEACAM16
ENSECAG00000012634	CEP78
ENSECAG00000012637	LENG1
ENSECAG00000012639	NOP2
ENSECAG00000012640	DYNAP
ENSECAG00000012641	NPHS1
ENSECAG00000012643	DHRS2
ENSECAG00000012644	STON1-GTF2A1L
ENSECAG00000012645	SPAG6
ENSECAG00000012646	SYNJ2
ENSECAG00000012647	ODF1
ENSECAG00000012649	FMO3
ENSECAG00000012650	KY
ENSECAG00000012651	EFCAB5
ENSECAG00000012652	CHDH
ENSECAG00000012653	DYRK4
ENSECAG00000012654	EMC10
ENSECAG00000012655	CYSTM1
ENSECAG00000012656	BBOX1
ENSECAG00000012657	USP48
ENSECAG00000012658	C19orf70
ENSECAG00000012660	HLA-DRA
ENSECAG00000012661	SLC7A4
ENSECAG00000012663	CCND2
ENSECAG00000012664	HDHD2
ENSECAG00000012666	PSIP1
ENSECAG00000012669	TANC2
ENSECAG00000012670	ANXA2
ENSECAG00000012671	PRTG
ENSECAG00000012673	SLC22A8
ENSECAG00000012674	APTX
ENSECAG00000012675	MGME1
ENSECAG00000012676	AP002962.1
ENSECAG00000012677	HNRNPL
ENSECAG00000012679	RIF1
ENSECAG00000012680	N4BP2L1
ENSECAG00000012681	AMOTL1
ENSECAG00000012682	NFU1
ENSECAG00000012683	APEX1
ENSECAG00000012684	SWSAP1
ENSECAG00000012685	SLC10A6
ENSECAG00000012686	SNCAIP
ENSECAG00000012688	TAF12
ENSECAG00000012690	HMX2
ENSECAG00000012692	FAM81A
ENSECAG00000012693	LONRF1
ENSECAG00000012695	DBX2
ENSECAG00000012696	ALDH18A1
ENSECAG00000012697	C1orf158
ENSECAG00000012698	PAPD4
ENSECAG00000012699	KDELR1
ENSECAG00000012700	JADE3
ENSECAG00000012701	TRA2B
ENSECAG00000012702	PPBP
ENSECAG00000012703	ECHS1
ENSECAG00000012705	HEBP2
ENSECAG00000012706	NGRN
ENSECAG00000012707	LEMD2
ENSECAG00000012708	DNAJC8
ENSECAG00000012711	PTF1A
ENSECAG00000012713	CHERP
ENSECAG00000012715	APEX1
ENSECAG00000012716	RAB42
ENSECAG00000012717	TRAV26-2
ENSECAG00000012718	STX12
ENSECAG00000012719	ALOX12B
ENSECAG00000012720	YIPF2
ENSECAG00000012722	SPATA17
ENSECAG00000012724	MAP3K4
ENSECAG00000012725	RNF10
ENSECAG00000012726	MRPL14
ENSECAG00000012727	TNFAIP1
ENSECAG00000012728	SAA1
ENSECAG00000012730	ASL
ENSECAG00000012731	CCDC130
ENSECAG00000012733	COL6A5
ENSECAG00000012735	ZSCAN20
ENSECAG00000012736	STAG3
ENSECAG00000012738	COTL1
ENSECAG00000012739	ASB14
ENSECAG00000012740	PDE4DIP
ENSECAG00000012742	CXCL5
ENSECAG00000012743	ANO6
ENSECAG00000012744	ADAM12
ENSECAG00000012745	MSANTD2
ENSECAG00000012746	STAR
ENSECAG00000012747	APEX1
ENSECAG00000012748	CRTC1
ENSECAG00000012749	AP002962.1
ENSECAG00000012750	SLC6A6
ENSECAG00000012751	CCKBR
ENSECAG00000012752	EPHA4
ENSECAG00000012754	HSPB2-C11orf52
ENSECAG00000012755	TSPAN4
ENSECAG00000012756	LILRA6
ENSECAG00000012758	ZNF212
ENSECAG00000012759	PLPPR2
ENSECAG00000012760	LUC7L3
ENSECAG00000012764	C19orf47
ENSECAG00000012765	HSD17B13
ENSECAG00000012766	PRSS55
ENSECAG00000012767	C11orf52
ENSECAG00000012768	LILRA6
ENSECAG00000012769	ERLEC1
ENSECAG00000012770	ALDH9A1
ENSECAG00000012771	ALOXE3
ENSECAG00000012772	TRAV8-3
ENSECAG00000012773	CMPK2
ENSECAG00000012775	PRSS55
ENSECAG00000012776	RLF
ENSECAG00000012777	MPHOSPH8
ENSECAG00000012778	SYCE3
ENSECAG00000012779	IK
ENSECAG00000012780	CBX3
ENSECAG00000012781	WDR24
ENSECAG00000012782	MICU3
ENSECAG00000012783	PSMA1
ENSECAG00000012784	ZMAT3
ENSECAG00000012785	TRAV29DV5
ENSECAG00000012786	STOX2
ENSECAG00000012787	GAPVD1
ENSECAG00000012788	TTLL1
ENSECAG00000012789	AQP9
ENSECAG00000012790	ZNF709
ENSECAG00000012791	GBP6
ENSECAG00000012792	MIF
ENSECAG00000012793	CPT1B
ENSECAG00000012796	ABCB9
ENSECAG00000012797	RXFP3
ENSECAG00000012799	COL8A2
ENSECAG00000012800	NUP88
ENSECAG00000012801	KBTBD3
ENSECAG00000012802	ITLN2
ENSECAG00000012803	IL12B
ENSECAG00000012804	DENND5A
ENSECAG00000012805	ICAM4
ENSECAG00000012808	MRAP
ENSECAG00000012810	TNKS2
ENSECAG00000012811	AP002962.1
ENSECAG00000012813	TSEN2
ENSECAG00000012814	TM4SF20
ENSECAG00000012815	TNPO3
ENSECAG00000012816	PTPMT1
ENSECAG00000012817	NOSIP
ENSECAG00000012818	RP11-566K11.2
ENSECAG00000012819	KRT26
ENSECAG00000012820	APEX1
ENSECAG00000012821	ELOF1
ENSECAG00000012822	EIF3K
ENSECAG00000012823	GRB7
ENSECAG00000012824	DPH2
ENSECAG00000012825	ARHGAP24
ENSECAG00000012826	CDO1
ENSECAG00000012828	BSX
ENSECAG00000012829	HDLBP
ENSECAG00000012830	CHN2
ENSECAG00000012831	CACNG7
ENSECAG00000012832	SYT1
ENSECAG00000012834	RRNAD1
ENSECAG00000012835	CLEC18A
ENSECAG00000012836	ZNF558
ENSECAG00000012837	NRF1
ENSECAG00000012839	TMC4
ENSECAG00000012840	PPP1R37
ENSECAG00000012841	PAIP2B
ENSECAG00000012842	TTC7B
ENSECAG00000012843	PAG1
ENSECAG00000012844	TMED7
ENSECAG00000012845	MAPRE2
ENSECAG00000012846	PHOX2B
ENSECAG00000012847	TTC5
ENSECAG00000012848	IPO8
ENSECAG00000012849	KRT39
ENSECAG00000012850	HOXB6
ENSECAG00000012851	ZFR
ENSECAG00000012852	PAEP
ENSECAG00000012853	SP6
ENSECAG00000012854	ENST00000394227
ENSECAG00000012857	JSRP1
ENSECAG00000012858	RASL11A
ENSECAG00000012859	SP2
ENSECAG00000012860	BAAT
ENSECAG00000012862	LYN
ENSECAG00000012864	ZNF530
ENSECAG00000012866	VPS37C
ENSECAG00000012867	MIER3
ENSECAG00000012869	FSBP
ENSECAG00000012871	UPK1A
ENSECAG00000012872	SSX2IP
ENSECAG00000012873	PADI3
ENSECAG00000012874	AP1G1
ENSECAG00000012875	GATAD2A
ENSECAG00000012876	CASP4
ENSECAG00000012877	SMPD1
ENSECAG00000012878	PNPLA8
ENSECAG00000012879	KIAA1429
ENSECAG00000012880	RNF166
ENSECAG00000012881	NME6
ENSECAG00000012882	MATR3
ENSECAG00000012883	CEBPE
ENSECAG00000012886	SPG21
ENSECAG00000012887	CPZ
ENSECAG00000012889	TMEM108
ENSECAG00000012891	ARPC4
ENSECAG00000012892	SCG2
ENSECAG00000012894	STAU1
ENSECAG00000012896	CDC37
ENSECAG00000012898	PNLDC1
ENSECAG00000012899	ESCO2
ENSECAG00000012900	MSN
ENSECAG00000012901	AK5
ENSECAG00000012902	CHMP6
ENSECAG00000012903	WDR76
ENSECAG00000012906	CLEC4A
ENSECAG00000012907	SLC9B1
ENSECAG00000012908	NOL9
ENSECAG00000012909	KRT37
ENSECAG00000012910	ACE
ENSECAG00000012911	TRAV18
ENSECAG00000012913	SLAMF7
ENSECAG00000012914	RAB22A
ENSECAG00000012915	KCTD13
ENSECAG00000012918	ZNF704
ENSECAG00000012919	RP1L1
ENSECAG00000012920	TAPBPL
ENSECAG00000012921	ALPK2
ENSECAG00000012922	KLHL14
ENSECAG00000012923	C1orf54
